date,price
2025-05-17 07:09:34.446,103477.33282267097
2025-05-17 08:09:21.812,103461.57411690436
2025-05-17 09:09:45.561,103486.17664215172
2025-05-17 10:09:45.506,102953.19338310153
2025-05-17 11:08:16.204,102888.81365330738
2025-05-17 12:04:43.260,103006.73892894214
2025-05-17 13:04:59.926,102970.03327807052
2025-05-17 14:05:34.448,102770.92765223501
2025-05-17 15:02:24.629,103084.1477956473
2025-05-17 16:04:29.896,103048.13639309886
2025-05-17 17:08:30.636,102939.38321692156
2025-05-17 18:04:45.129,103228.47165623815
2025-05-17 19:04:11.011,103150.84851261016
2025-05-17 20:09:43.594,103190.37357819127
2025-05-17 21:04:31.186,103328.79249857902
2025-05-17 22:04:45.468,103243.00007011925
2025-05-17 23:04:50.206,103058.42662008991
2025-05-18 00:06:32.399,103194.65650649132
2025-05-18 01:04:54.044,103327.24481798257
2025-05-18 02:04:49.672,103267.63750333845
2025-05-18 03:04:56.266,103352.28257714226
2025-05-18 04:04:46.830,103299.05914787803
2025-05-18 05:05:28.844,103355.71135042422
2025-05-18 06:04:10.198,103572.153611391
2025-05-18 07:04:40.548,103454.258403256
2025-05-18 08:07:28.149,103939.79715898632
2025-05-18 09:01:59.763,103957.51238379734
2025-05-18 10:04:36.090,103932.06434509694
2025-05-18 11:00:42.740,103858.01525131274
2025-05-18 12:03:35.684,103879.27506436742
2025-05-18 13:07:50.856,103917.6748144419
2025-05-18 14:03:08.199,104358.7947429362
2025-05-18 15:05:56.300,105248.97875365856
2025-05-18 16:02:00.858,105489.05721365198
2025-05-18 17:09:45.493,105617.89582136768
2025-05-18 18:04:51.334,105225.03435811208
2025-05-18 19:01:28.391,104765.1482168906
2025-05-18 20:09:36.186,103978.61566865668
2025-05-18 21:04:46.978,104252.70272876776
2025-05-18 22:04:39.901,104348.16945412189
2025-05-18 23:04:41.679,105427.48904875397
2025-05-19 00:02:08.131,106139.68550864227
2025-05-19 01:09:40.508,105437.01050324997
2025-05-19 02:04:50.863,105096.5284516676
2025-05-19 03:05:32.868,104838.70371804148
2025-05-19 04:04:58.596,103772.36372351332
2025-05-19 05:04:42.328,103094.56691113103
2025-05-19 06:01:00.737,102967.7704388321
2025-05-19 07:04:33.396,102381.2104823244
2025-05-19 08:06:40.888,103123.7868453361
2025-05-19 09:04:59.783,103196.68223062064
2025-05-19 10:09:48.309,103065.3005647513
2025-05-19 11:04:51.669,103017.96554457302
2025-05-19 12:02:58.324,102997.32804027783
2025-05-19 13:04:52.399,102430.42377901066
2025-05-19 14:02:36.424,103154.46317414453
2025-05-19 15:07:55.091,104220.6102128076
2025-05-19 16:06:16.102,104836.37399450976
2025-05-19 17:09:54.286,105198.84427783277
2025-05-19 18:09:44.875,105400.64224825481
2025-05-19 19:02:32.435,104880.26082573306
2025-05-19 20:09:32.013,105483.24685112822
2025-05-19 21:09:50.298,105474.85779660604
2025-05-19 22:03:49.297,105370.28430321654
2025-05-19 23:02:45.398,105563.46876771093
2025-05-20 00:09:37.157,105663.20354903601
2025-05-20 01:12:29.720,105954.58937111168
2025-05-20 02:07:37.659,106518.35886707173
2025-05-20 03:04:49.896,106213.00243528716
2025-05-20 04:09:34.546,105704.92960225897
2025-05-20 05:08:33.134,106000.05837647662
2025-05-20 06:03:37.411,106180.53385959675
2025-05-20 07:03:17.624,105571.21456623028
2025-05-20 08:03:40.043,105098.96222700436
2025-05-20 09:02:23.575,105132.78539854169
2025-05-20 10:03:28.964,105335.88358591389
2025-05-20 11:03:53.561,105108.95454542089
2025-05-20 12:04:05.961,105290.92949721494
2025-05-20 13:03:37.209,104783.15991167142
2025-05-20 14:03:44.154,104387.66509118448
2025-05-20 15:03:36.675,104699.4194788197
2025-05-20 16:06:32.254,105320.90282923858
2025-05-20 17:03:32.682,105321.47853626123
2025-05-20 18:02:08.129,106214.94694946974
2025-05-20 19:03:22.368,105617.25144004321
2025-05-20 20:08:19.829,106766.70827506462
2025-05-20 21:03:46.365,106873.03984532565
2025-05-20 22:03:47.739,106605.25880615096
2025-05-20 23:03:16.299,106566.5101429697
2025-05-21 00:03:42.592,106798.53751514817
2025-05-21 01:03:55.454,106729.94892643986
2025-05-21 02:03:29.040,106745.58902176483
2025-05-21 03:03:15.136,106847.32408765871
2025-05-21 04:03:16.764,106997.00700435344
2025-05-21 05:03:29.992,107310.06807981472
2025-05-21 06:03:23.869,107571.99245510355
2025-05-21 07:03:47.381,107830.8151594922
2025-05-21 08:03:30.784,106677.38787992802
2025-05-21 09:03:28.082,106453.36873589936
2025-05-21 10:02:46.515,106229.4484508103
2025-05-21 11:03:39.287,106345.85396894008
2025-05-21 12:03:46.422,106572.18074553607
2025-05-21 13:03:43.359,106597.24663397692
